what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259496282218
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259496286374
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259496371812
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259496470327
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259496545577
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259496547718
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259496654624
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259496657156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259496825202
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259496832718
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259496834015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259496836718
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259497103999
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259497137624
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259497138734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259497140937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259499784124
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259499789046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259499793343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259499815077
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1259499817796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259499845421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259499896202
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259499903937
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259499906187
