what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1259502274187
stopped,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1259502274187
stopped,bundle,org.eclipse.emf.validation.ui.ide,1.2.0.v200805130238,org.eclipse.emf.validation.ui.ide,1259502274187
stopped,bundle,org.eclipse.emf.validation.ui,1.2.0.v200805130238,org.eclipse.emf.validation.ui,1259502274187
stopped,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1259502274187
stopped,bundle,org.eclipse.xsd.editor,2.4.0.v200808251517,org.eclipse.xsd.editor,1259502274187
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1259502274234
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1259502274234
stopped,bundle,org.eclipse.uml2.uml.ecore.exporter,2.2.0.v200805131030,org.eclipse.uml2.uml.ecore.exporter,1259502274234
stopped,bundle,org.eclipse.xsd.ecore.exporter,2.4.0.v200808251517,org.eclipse.xsd.ecore.exporter,1259502274234
stopped,bundle,org.eclipse.emf.exporter,2.4.0.v200808251517,org.eclipse.emf.exporter,1259502274234
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200808251517,org.eclipse.emf.importer.ecore,1259502274234
stopped,bundle,org.eclipse.emf.importer.java,2.4.1.v200808251517,org.eclipse.emf.importer.java,1259502274249
stopped,bundle,org.eclipse.emf.importer.rose,2.4.0.v200808251517,org.eclipse.emf.importer.rose,1259502274249
stopped,bundle,org.eclipse.uml2.uml.ecore.importer,2.2.0.v200805131030,org.eclipse.uml2.uml.ecore.importer,1259502274249
stopped,bundle,org.eclipse.xsd.ecore.importer,2.4.0.v200808251517,org.eclipse.xsd.ecore.importer,1259502274249
stopped,bundle,org.eclipse.emf.importer,2.4.1.v200808251517,org.eclipse.emf.importer,1259502274249
stopped,bundle,org.eclipse.emf.converter,2.4.0.v200808251517,org.eclipse.emf.converter,1259502274249
stopped,bundle,org.eclipse.uml2.codegen.ecore.ui,1.4.0.v200805131030,org.eclipse.uml2.codegen.ecore.ui,1259502274249
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200808251517,org.eclipse.emf.codegen.ecore.ui,1259502274249
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200808251517,org.eclipse.emf.codegen.ui,1259502274249
